threshold,precision,recall,f1
0.875,0.9807840122982321,0.7975,0.8796966563254051
0.88,0.98145285935085,0.79375,0.8776779543883898
0.885,0.9817120622568093,0.7884375,0.8745233968804159
0.89,0.9831570701135919,0.784375,0.8725882148444289
0.895,0.9841959699723429,0.7784375,0.869307276217065
0.9,0.9848605577689243,0.7725,0.8658493870402802
0.905,0.9855479727017262,0.7671875,0.862765770514848
0.91,0.9866342648845686,0.76125,0.8594108308343623
0.915,0.9869334422213148,0.7553125,0.8557266772880155
0.92,0.9872375463153561,0.749375,0.852016343933203
0.925,0.9891936824605154,0.74375,0.8490902604352479
0.93,0.9903442485306465,0.7371875,0.8452167681834468
0.935,0.9915002124946877,0.7290625,0.8402665226003961
0.94,0.9922513990529488,0.7203125,0.8346912909650552
0.945,0.9934754240974336,0.71375,0.8306964902709584
0.95,0.9937943262411347,0.700625,0.8218475073313783
